epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3203,0.91423,2.57654,1.21309,0.23423,0.06438,0.04497,0.03724,1.06367,2.01348,0.93369,0.000332947,0.000332947,0.000332947
2,167.453,0.88405,2.03476,1.17168,0.27211,0.06712,0.05286,0.04151,1.05348,1.84638,0.90539,0.000653088,0.000653088,0.000653088
3,244.94,0.88995,1.91602,1.16354,0.27519,0.06543,0.0546,0.04434,1.11582,1.89239,0.8973,0.000960029,0.000960029,0.000960029
4,329.615,0.87845,1.82664,1.14492,0.26989,0.06699,0.06066,0.04942,1.15029,1.82782,0.88584,0.0009406,0.0009406,0.0009406
5,410.712,0.85093,1.77444,1.13578,0.36455,0.0723,0.06217,0.05089,1.03877,1.74475,0.85283,0.0009208,0.0009208,0.0009208
6,487.218,0.85837,1.7341,1.12988,0.39322,0.06996,0.0689,0.05713,1.06888,1.62648,0.85545,0.000901,0.000901,0.000901
7,563.772,0.81842,1.66786,1.11977,0.33329,0.07016,0.06941,0.05428,1.09693,1.66588,0.85981,0.0008812,0.0008812,0.0008812
8,640.62,0.80584,1.59331,1.11439,0.3724,0.05972,0.06327,0.05145,1.18428,1.88352,1.03633,0.0008614,0.0008614,0.0008614
9,718.221,0.78753,1.572,1.09952,0.3206,0.06983,0.06864,0.05368,1.09528,1.66213,0.86198,0.0008416,0.0008416,0.0008416
10,795.422,0.77981,1.52016,1.09939,0.40521,0.07683,0.07807,0.06228,1.03339,1.47511,0.79506,0.0008218,0.0008218,0.0008218
11,873.722,0.76927,1.48145,1.08532,0.40451,0.07122,0.08161,0.06529,1.0227,1.47583,0.80933,0.000802,0.000802,0.000802
12,950.601,0.77563,1.47157,1.08566,0.35437,0.07736,0.08071,0.06491,0.98712,1.42316,0.7842,0.0007822,0.0007822,0.0007822
13,1038.68,0.77086,1.42963,1.0822,0.50395,0.07515,0.07961,0.06441,1.02263,1.4082,0.77831,0.0007624,0.0007624,0.0007624
14,1141.69,0.74825,1.38948,1.07559,0.40369,0.07784,0.08376,0.06644,0.99901,1.40313,0.78427,0.0007426,0.0007426,0.0007426
15,1245.4,0.73976,1.37124,1.06529,0.44616,0.07862,0.08477,0.06639,1.03035,1.43621,0.82761,0.0007228,0.0007228,0.0007228
16,1348.74,0.7454,1.3616,1.06772,0.3977,0.08266,0.0879,0.06945,1.00751,1.26096,0.76151,0.000703,0.000703,0.000703
17,1450.13,0.733,1.32529,1.06622,0.44549,0.08672,0.09224,0.07303,0.93026,1.25498,0.73212,0.0006832,0.0006832,0.0006832
18,1551.11,0.73045,1.29718,1.0587,0.38406,0.08549,0.09038,0.06983,0.99783,1.30403,0.77573,0.0006634,0.0006634,0.0006634
19,1651.72,0.71956,1.29329,1.05918,0.40076,0.09208,0.09317,0.07271,0.95522,1.22827,0.74495,0.0006436,0.0006436,0.0006436
20,1753.44,0.70914,1.26931,1.05546,0.42531,0.08739,0.09274,0.07174,1.00522,1.30293,0.79007,0.0006238,0.0006238,0.0006238
21,1852.44,0.69026,1.20225,1.04301,0.40085,0.09858,0.09895,0.07629,0.95775,1.18806,0.73894,0.000604,0.000604,0.000604
22,1952.94,0.69898,1.21323,1.0445,0.41178,0.09873,0.10423,0.08009,0.92426,1.15637,0.72076,0.0005842,0.0005842,0.0005842
23,2052.63,0.70198,1.18845,1.05403,0.42661,0.09333,0.10235,0.07898,0.95256,1.17492,0.73701,0.0005644,0.0005644,0.0005644
24,2153.91,0.69337,1.19721,1.04099,0.46463,0.10113,0.10554,0.07922,0.96485,1.13208,0.73881,0.0005446,0.0005446,0.0005446
25,2255.54,0.67997,1.16626,1.04039,0.43356,0.10012,0.10617,0.08055,0.95898,1.19604,0.73514,0.0005248,0.0005248,0.0005248
26,2354.22,0.67764,1.15779,1.03938,0.4283,0.09584,0.10458,0.07889,0.92826,1.15981,0.72043,0.000505,0.000505,0.000505
27,2456.37,0.68715,1.12736,1.03863,0.44225,0.10379,0.11173,0.08374,0.96373,1.10041,0.73756,0.0004852,0.0004852,0.0004852
28,2557.26,0.68627,1.11288,1.03761,0.44739,0.10554,0.11107,0.08461,0.91929,1.05293,0.70244,0.0004654,0.0004654,0.0004654
29,2658.12,0.66183,1.08272,1.03011,0.45435,0.10394,0.11262,0.08439,0.91713,1.02776,0.70933,0.0004456,0.0004456,0.0004456
30,2759.45,0.68404,1.06585,1.0307,0.394,0.11316,0.11544,0.08585,0.91701,1.01177,0.69604,0.0004258,0.0004258,0.0004258
31,3032.75,0.65605,1.06039,1.03155,0.4722,0.10753,0.1143,0.08595,0.9347,1.08042,0.706,0.000406,0.000406,0.000406
32,3136.53,0.67573,1.05998,1.02938,0.45609,0.10681,0.11448,0.08638,0.91549,1.0345,0.69317,0.0003862,0.0003862,0.0003862
33,3239.96,0.66001,1.02775,1.02859,0.42422,0.11359,0.1169,0.08745,0.89649,0.99965,0.69281,0.0003664,0.0003664,0.0003664
34,3343.15,0.66143,1.00893,1.02337,0.46555,0.11393,0.11947,0.08931,0.90039,0.98751,0.68649,0.0003466,0.0003466,0.0003466
35,3447.9,0.6618,1.01141,1.02203,0.41436,0.11649,0.11887,0.08882,0.90211,1.0016,0.68975,0.0003268,0.0003268,0.0003268
36,3551.89,0.65337,0.99233,1.01911,0.44141,0.11189,0.11724,0.08913,0.89954,0.9824,0.69165,0.000307,0.000307,0.000307
37,3657.38,0.63972,0.9619,1.01393,0.43716,0.11352,0.11807,0.08921,0.88573,0.98454,0.67333,0.0002872,0.0002872,0.0002872
38,3760.39,0.63117,0.9483,1.01312,0.44467,0.11416,0.121,0.09106,0.88068,0.93475,0.67351,0.0002674,0.0002674,0.0002674
39,3864.78,0.62297,0.90854,1.01115,0.4473,0.11692,0.1236,0.09204,0.8886,0.94926,0.68263,0.0002476,0.0002476,0.0002476
40,3968.53,0.62814,0.91983,1.00893,0.45509,0.11526,0.12224,0.09195,0.8838,0.96505,0.67995,0.0002278,0.0002278,0.0002278
41,4164.21,0.7397,0.95819,1.00703,0.45317,0.11758,0.12325,0.09338,0.85832,0.92511,0.65951,0.000208,0.000208,0.000208
42,4500.43,0.72398,0.88359,1.00312,0.45002,0.11654,0.1231,0.09248,0.86722,0.93628,0.65965,0.0001882,0.0001882,0.0001882
43,4661.76,0.71113,0.8477,0.99678,0.45792,0.11387,0.12091,0.09153,0.87056,0.93524,0.66575,0.0001684,0.0001684,0.0001684
44,4841.75,0.71391,0.83792,0.99424,0.46752,0.11599,0.12535,0.09462,0.84164,0.90117,0.65198,0.0001486,0.0001486,0.0001486
45,4915.72,0.69296,0.82027,0.99065,0.44804,0.11712,0.12534,0.09437,0.84063,0.90257,0.64484,0.0001288,0.0001288,0.0001288
46,4989.46,0.68635,0.78462,0.99891,0.46563,0.12062,0.1264,0.09491,0.84471,0.89567,0.64902,0.000109,0.000109,0.000109
47,5063.46,0.6996,0.79437,0.98658,0.44168,0.11921,0.1254,0.09443,0.83195,0.89452,0.64127,8.92e-05,8.92e-05,8.92e-05
48,5137.35,0.68165,0.77833,0.97935,0.4475,0.11941,0.12621,0.09481,0.82879,0.89318,0.64255,6.94e-05,6.94e-05,6.94e-05
49,5212.04,0.67743,0.74696,0.97777,0.48874,0.11866,0.12726,0.09601,0.82909,0.88522,0.63592,4.96e-05,4.96e-05,4.96e-05
50,5287,0.67231,0.73966,0.97142,0.50559,0.11742,0.12831,0.09611,0.83114,0.87425,0.63659,2.98e-05,2.98e-05,2.98e-05
